1, hopo:oak_mineshaft, HEADING, header:ignore, 0, 0, 0
56, red:flower_oracle, HEADING, header:ignore, 0, 0, 0
57, nova_structures:firewatch_tower_birch, HEADING, header:ignore, 0, 0, 0
58, soulsweapons:decaying_kingdom, HEADING, header:ignore, 0, 0, 0
59, awesomedungeonocean:ocean_ruin_pillager, HEADING, header:ignore, 0, 0, 0
60, forgero:medium_forging_house_savanna, HEADING, header:ignore, 0, 0, 0
61, explorify:guide_post_cold, HEADING, header:ignore, 0, 0, 0
62, hopo:underwater_warm_small_ruins, HEADING, header:ignore, 0, 0, 0
63, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
64, hopo:jungle_mineshaft, HEADING, header:ignore, 0, 0, 0
65, red:patheon, HEADING, header:ignore, 0, 0, 0
66, awesomedungeonnether:nth_obsi_house, HEADING, header:ignore, 0, 0, 0
67, nova_structures:firewatch_tower_taiga, HEADING, header:ignore, 0, 0, 0
68, awesomedungeonocean:ocean_warn_temple, HEADING, header:ignore, 0, 0, 0
69, red:taiga_deforestation, HEADING, header:ignore, 0, 0, 0
70, hopo:acacia_mineshaft, HEADING, header:ignore, 0, 0, 0
71, explorify:watchtower_taiga, HEADING, header:ignore, 0, 0, 0
72, florcraft:verdant_shrine, HEADING, header:ignore, 0, 0, 0
73, hopo:dark_oak_mineshaft, HEADING, header:ignore, 0, 0, 0
74, nova_structures:jungle_ruins, HEADING, header:ignore, 0, 0, 0
75, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
76, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
77, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 5, 4, 4
78, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 8, 5, 5
79, minecraft:fortress, MONSTER, minecraft:skeleton, 20, 5, 5
80, minecraft:fortress, MONSTER, minecraft:magma_cube, 30, 4, 4
81, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
82, minecraft:stronghold, MONSTER, minecraft:spider, 80, 4, 4
83, minecraft:stronghold, MONSTER, minecraft:zombie, 80, 4, 16
84, minecraft:stronghold, MONSTER, minecraft:zombie_villager, 5, 1, 1
85, minecraft:stronghold, MONSTER, minecraft:skeleton, 80, 4, 4
86, minecraft:stronghold, MONSTER, minecraft:creeper, 80, 4, 4
87, minecraft:stronghold, MONSTER, minecraft:slime, 80, 4, 4
88, minecraft:stronghold, MONSTER, minecraft:enderman, 80, 1, 4
89, minecraft:stronghold, MONSTER, minecraft:endermite, 80, 1, 16
90, minecraft:stronghold, MONSTER, minecraft:drowned, 80, 4, 4
91, minecraft:stronghold, MONSTER, minecraft:witch, 5, 1, 1
92, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
93, survivalexpansion:crystal3, HEADING, header:ignore, 0, 0, 0
94, nova_structures:well_birch, HEADING, header:ignore, 0, 0, 0
95, red:sphinx, HEADING, header:ignore, 0, 0, 0
96, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
97, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
98, nova_structures:tavern_birch, HEADING, header:ignore, 0, 0, 0
99, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
100, survivalexpansion:ghasttree2, HEADING, header:ignore, 0, 0, 0
101, awesomedungeonocean:frigate_medium, HEADING, header:ignore, 0, 0, 0
102, awesomedungeon:the_ztower, HEADING, header:ignore, 0, 0, 0
103, nova_structures:tavern_acacia, HEADING, header:ignore, 0, 0, 0
104, nova_structures:firewatch_tower_savanna, HEADING, header:ignore, 0, 0, 0
105, awesomedungeon:better_default_jungle_temple, HEADING, header:ignore, 0, 0, 0
106, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
107, nova_structures:tavern_mangrove, HEADING, header:ignore, 0, 0, 0
108, survivalexpansion:ghasttree3, HEADING, header:ignore, 0, 0, 0
109, awesomedungeonend:end_castle_evoker, HEADING, header:ignore, 0, 0, 0
110, awesomedungeon:swamp_big_temple, HEADING, header:ignore, 0, 0, 0
111, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
112, red:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
113, explorify:black_spiral, HEADING, header:ignore, 0, 0, 0
114, awesomedungeonocean:ocean_the_column_temple, HEADING, header:ignore, 0, 0, 0
115, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
116, survivalexpansion:crystal2, HEADING, header:ignore, 0, 0, 0
117, red:jungle_deforestation, HEADING, header:ignore, 0, 0, 0
118, hopo:underwater_fossils, HEADING, header:ignore, 0, 0, 0
119, hopo:deepslate_mineshaft, HEADING, header:ignore, 0, 0, 0
120, red:dark_tower, HEADING, header:ignore, 0, 0, 0
121, red:dark_tower, MONSTER, minecraft:pillager, 5, 2, 3
122, survivalexpansion:crystal, HEADING, header:ignore, 0, 0, 0
123, awesomedungeonocean:frigate_large, HEADING, header:ignore, 0, 0, 0
124, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
125, awesomedungeonocean:brigantine, HEADING, header:ignore, 0, 0, 0
126, explorify:desert_shrine, HEADING, header:ignore, 0, 0, 0
127, red:statue2, HEADING, header:ignore, 0, 0, 0
128, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
129, nova_structures:firewatch_tower_jungle, HEADING, header:ignore, 0, 0, 0
130, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
131, nova_structures:illager_camp, HEADING, header:ignore, 0, 0, 0
132, red:snowy_oracle, HEADING, header:ignore, 0, 0, 0
133, red:statue, HEADING, header:ignore, 0, 0, 0
134, awesomedungeonnether:nth_giant_crimson_tree, HEADING, header:ignore, 0, 0, 0
135, survivalexpansion:ghasttree1, HEADING, header:ignore, 0, 0, 0
136, hopo:birch_mineshaft, HEADING, header:ignore, 0, 0, 0
137, nova_structures:underground_house, HEADING, header:ignore, 0, 0, 0
138, survivalexpansion:mushtree2, HEADING, header:ignore, 0, 0, 0
139, survivalexpansion:mushtree4, HEADING, header:ignore, 0, 0, 0
140, soulsweapons:champions_graves, HEADING, header:ignore, 0, 0, 0
141, survivalexpansion:mushtree1, HEADING, header:ignore, 0, 0, 0
142, forgero:small_forging_house_plains, HEADING, header:ignore, 0, 0, 0
143, hopo:portal_dripstone, HEADING, header:ignore, 0, 0, 0
144, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
145, awesomedungeon:the_usine, HEADING, header:ignore, 0, 0, 0
146, nova_structures:firewatch_tower_dark_oak, HEADING, header:ignore, 0, 0, 0
147, nova_structures:well_jungle, HEADING, header:ignore, 0, 0, 0
148, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
149, awesomedungeonend:end_palace, HEADING, header:ignore, 0, 0, 0
150, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
151, soulsweapons:corrupt_altar, HEADING, header:ignore, 0, 0, 0
152, hopo:portal_deepslate, HEADING, header:ignore, 0, 0, 0
153, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
154, awesomedungeonocean:ocean_cage, HEADING, header:ignore, 0, 0, 0
155, hopo:mangrove_mineshaft, HEADING, header:ignore, 0, 0, 0
156, minecraft:monument, HEADING, header:ignore, 0, 0, 0
157, minecraft:monument, MONSTER, minecraft:guardian, 5, 2, 4
158, minecraft:stronghold_town, HEADING, header:ignore, 0, 0, 0
159, minecraft:stronghold_town, MONSTER, minecraft:spider, 80, 4, 4
160, minecraft:stronghold_town, MONSTER, minecraft:zombie, 80, 4, 16
161, minecraft:stronghold_town, MONSTER, minecraft:zombie_villager, 5, 1, 1
162, minecraft:stronghold_town, MONSTER, minecraft:skeleton, 80, 4, 4
163, minecraft:stronghold_town, MONSTER, minecraft:creeper, 80, 4, 4
164, minecraft:stronghold_town, MONSTER, minecraft:slime, 80, 4, 4
165, minecraft:stronghold_town, MONSTER, minecraft:enderman, 80, 1, 4
166, minecraft:stronghold_town, MONSTER, minecraft:endermite, 80, 1, 16
167, minecraft:stronghold_town, MONSTER, minecraft:drowned, 80, 4, 4
168, minecraft:stronghold_town, MONSTER, minecraft:witch, 5, 1, 1
169, hopo:spruce_mineshaft, HEADING, header:ignore, 0, 0, 0
170, explorify:guide_post_warm, HEADING, header:ignore, 0, 0, 0
171, nova_structures:tavern_dark_oak, HEADING, header:ignore, 0, 0, 0
172, awesomedungeonnether:nth_blaze_tower, HEADING, header:ignore, 0, 0, 0
173, swordsandstrongholds:sword_stronghold, HEADING, header:ignore, 0, 0, 0
174, swordsandstrongholds:sword_stronghold, MONSTER, minecraft:skeleton, 5, 5, 10
175, nova_structures:stray_fort, HEADING, header:ignore, 0, 0, 0
176, nova_structures:stray_fort, MONSTER, minecraft:stray, 5, 1, 32
177, minecraft:illager_manor, HEADING, header:ignore, 0, 0, 0
178, hopo:portal_lush, HEADING, header:ignore, 0, 0, 0
179, nova_structures:well_savana, HEADING, header:ignore, 0, 0, 0
180, awesomedungeon:abandoned_oak_palace, HEADING, header:ignore, 0, 0, 0
181, survivalexpansion:crimtree3, HEADING, header:ignore, 0, 0, 0
182, awesomedungeonocean:ocean_temple_quad, HEADING, header:ignore, 0, 0, 0
183, explorify:end_shipwreck, HEADING, header:ignore, 0, 0, 0
184, awesomedungeonnether:nth_center_square, HEADING, header:ignore, 0, 0, 0
185, awesomedungeon:desert_temple_husk, HEADING, header:ignore, 0, 0, 0
186, red:herobrine_statue, HEADING, header:ignore, 0, 0, 0
187, red:big_oracle, HEADING, header:ignore, 0, 0, 0
188, survivalexpansion:dreadcastle, HEADING, header:ignore, 0, 0, 0
189, red:desert_pyramid, HEADING, header:ignore, 0, 0, 0
190, survivalexpansion:crimtree2, HEADING, header:ignore, 0, 0, 0
191, explorify:watchtower_savanna, HEADING, header:ignore, 0, 0, 0
192, hopo:underwater_small_ruins, HEADING, header:ignore, 0, 0, 0
193, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
194, florcraft:aqueous_shrine, HEADING, header:ignore, 0, 0, 0
195, hopo:portal_corruption, HEADING, header:ignore, 0, 0, 0
196, awesomedungeonnether:nth_absi_palace, HEADING, header:ignore, 0, 0, 0
197, nova_structures:undead_crypt, HEADING, header:ignore, 0, 0, 0
198, survivalexpansion:mushtree3, HEADING, header:ignore, 0, 0, 0
199, survivalexpansion:havenigloo, HEADING, header:ignore, 0, 0, 0
200, nova_structures:tavern_oak, HEADING, header:ignore, 0, 0, 0
201, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
202, nova_structures:bunker, HEADING, header:ignore, 0, 0, 0
203, nova_structures:wild_ruin, HEADING, header:ignore, 0, 0, 0
204, red:swamp_pillager_mangrove, HEADING, header:ignore, 0, 0, 0
205, nova_structures:firewatch_tower_forest, HEADING, header:ignore, 0, 0, 0
206, nova_structures:well_spruce, HEADING, header:ignore, 0, 0, 0
207, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
208, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
209, nova_structures:well_oak, HEADING, header:ignore, 0, 0, 0
210, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
211, soulsweapons:cathedral_of_resurrection, HEADING, header:ignore, 0, 0, 0
212, soulsweapons:cathedral_of_resurrection, MONSTER, soulsweapons:dark_sorcerer, 80, 1, 4
213, red:beach_house, HEADING, header:ignore, 0, 0, 0
214, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
215, survivalexpansion:ghasttree4, HEADING, header:ignore, 0, 0, 0
216, florcraft:scion_shrine, HEADING, header:ignore, 0, 0, 0
217, awesomedungeonend:end_hardcastle, HEADING, header:ignore, 0, 0, 0
218, nova_structures:conduit_ruin, HEADING, header:ignore, 0, 0, 0
